tpms_type,unit_cell_size_mm,wall_thickness_mm,porosity_min,porosity_max,func_degree,stl_path,compressive_strength_MPa,tensile_strength_MPa,max_force_N,cross_sectional_area_m2,energy_absorption_J,max_displacement_mm,max_strain,status
gyroid,8.0,2.5,0.2,0.5,1,gyroid_outputs/gyroid_20251203_030027.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.5,2,gyroid_outputs/gyroid_20251203_030030.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.6,1,gyroid_outputs/gyroid_20251203_030033.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.6,2,gyroid_outputs/gyroid_20251203_030035.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.7,1,gyroid_outputs/gyroid_20251203_030038.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.7,2,gyroid_outputs/gyroid_20251203_030041.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.8,1,gyroid_outputs/gyroid_20251203_030044.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.8,2,gyroid_outputs/gyroid_20251203_030047.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.9,1,gyroid_outputs/gyroid_20251203_030050.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.2,0.9,2,gyroid_outputs/gyroid_20251203_030053.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.5,1,gyroid_outputs/gyroid_20251203_030056.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.5,2,gyroid_outputs/gyroid_20251203_030058.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.6,1,gyroid_outputs/gyroid_20251203_030101.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.6,2,gyroid_outputs/gyroid_20251203_030104.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.7,1,gyroid_outputs/gyroid_20251203_030107.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.7,2,gyroid_outputs/gyroid_20251203_030110.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.8,1,gyroid_outputs/gyroid_20251203_030113.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.8,2,gyroid_outputs/gyroid_20251203_030116.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.9,1,gyroid_outputs/gyroid_20251203_030119.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.3,0.9,2,gyroid_outputs/gyroid_20251203_030122.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.5,1,gyroid_outputs/gyroid_20251203_030125.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
